id,session,session_seq,visit_id,trial,response_time,error_distance,sum_error_distance,median_error_distance,perfect_dots
316,3,3,316_3_2023-10-06,1,6547,0,0,0,3
316,3,3,316_3_2023-10-06,2,4477,0,0,0,3
316,3,3,316_3_2023-10-06,3,5041,1.6666666666666667,5,0,2
317,1,1,317_1_2023-10-13,1,6696,5,15,5,0
317,1,1,317_1_2023-10-13,2,7947,3.3333333333333335,10,0,2
317,1,1,317_1_2023-10-13,3,4871,4.714045207910317,14.142135623730951,7.0710678118654755,1
317,2,2,317_2_2023-10-13,1,5985,6.666666666666667,20,5,0
317,2,2,317_2_2023-10-13,2,5637,5.6903559372884915,17.071067811865476,5,0
317,2,2,317_2_2023-10-13,3,3678,6.666666666666667,20,5,0
317,3,3,317_3_2023-10-13,1,9729,5,15,5,0
317,3,3,317_3_2023-10-13,2,20558,7.750469233121475,23.251407699364425,7.0710678118654755,0
317,3,3,317_3_2023-10-13,3,3317,9.294152037569125,27.882456112707374,7.0710678118654755,0
318,1,1,318_1_2024-01-10,1,13486,0,0,0,3
318,1,1,318_1_2024-01-10,2,13363,1.6666666666666667,5,0,2
318,1,1,318_1_2024-01-10,3,6852,0,0,0,3
318,2,2,318_2_2024-01-10,1,5500,1.6666666666666667,5,0,2
318,2,2,318_2_2024-01-10,2,3138,0,0,0,3
318,2,2,318_2_2024-01-10,3,5337,0,0,0,3
318,3,3,318_3_2024-01-10,1,9468,0,0,0,3
318,3,3,318_3_2024-01-10,2,3791,0,0,0,3
318,3,3,318_3_2024-01-10,3,4904,0,0,0,3
319,1,1,319_1_2024-01-05,1,3442,1.6666666666666667,5,0,2
319,1,1,319_1_2024-01-05,2,3716,5,15,5,0
319,1,1,319_1_2024-01-05,3,5236,0,0,0,3
319,2,2,319_2_2024-01-05,1,4138,3.3333333333333335,10,5,1
319,2,2,319_2_2024-01-05,2,2322,10.270462766947299,30.811388300841898,10,0
319,2,2,319_2_2024-01-05,3,3106,5.6903559372884915,17.071067811865476,5,0
319,3,3,319_3_2024-01-05,1,3044,7.750469233121475,23.251407699364425,7.0710678118654755,0
319,3,3,319_3_2024-01-05,2,3201,1.6666666666666667,5,0,2
319,3,3,319_3_2024-01-05,3,5590,0,0,0,3
320,1,1,320_1_2024-01-24,1,2812,0,0,0,3
320,1,1,320_1_2024-01-24,2,3535,3.3333333333333335,10,5,1
320,1,1,320_1_2024-01-24,3,3685,0,0,0,3
320,2,2,320_2_2024-01-24,1,4329,0,0,0,3
320,2,2,320_2_2024-01-24,2,3770,1.6666666666666667,5,0,2
320,2,2,320_2_2024-01-24,3,4989,3.3333333333333335,10,5,1
320,3,3,320_3_2024-01-24,1,4089,0,0,0,3
320,3,3,320_3_2024-01-24,2,5515,6.666666666666667,20,5,0
320,3,3,320_3_2024-01-24,3,5268,4.0236892706218255,12.071067811865476,5,1
321,1,1,321_1_2024-02-05,1,8676,5,15,5,1
321,1,1,321_1_2024-02-05,2,6727,3.3333333333333335,10,5,1
321,1,1,321_1_2024-02-05,3,5174,3.3333333333333335,10,5,1
321,2,2,321_2_2024-02-05,1,5200,1.6666666666666667,5,0,2
321,2,2,321_2_2024-02-05,2,5676,0,0,0,3
321,2,2,321_2_2024-02-05,3,9720,1.6666666666666667,5,0,2
321,3,3,321_3_2024-02-05,1,6842,1.6666666666666667,5,0,2
321,3,3,321_3_2024-02-05,2,8941,1.6666666666666667,5,0,2
321,3,3,321_3_2024-02-05,3,7413,1.6666666666666667,5,0,2
322,1,1,322_1_2024-02-13,1,5586,3.3333333333333335,10,5,1
322,1,1,322_1_2024-02-13,2,16306,1.6666666666666667,5,0,2
322,1,1,322_1_2024-02-13,3,5536,2.3570226039551585,7.0710678118654755,0,2
322,2,2,322_2_2024-02-13,1,6955,2.3570226039551585,7.0710678118654755,0,2
322,2,2,322_2_2024-02-13,2,10621,6.380711874576984,19.14213562373095,7.0710678118654755,0
322,2,2,322_2_2024-02-13,3,10486,7.3570226039551585,22.071067811865476,7.0710678118654755,0
322,3,3,322_3_2024-02-13,1,8721,2.3570226039551585,7.0710678118654755,0,2
322,3,3,322_3_2024-02-13,2,8308,4.0236892706218255,12.071067811865476,5,1
322,3,3,322_3_2024-02-13,3,3036,1.6666666666666667,5,0,2
323,1,1,323_1_2024-02-19,1,5968,3.3333333333333335,10,5,1
323,1,1,323_1_2024-02-19,2,12015,0,0,0,3
323,1,1,323_1_2024-02-19,3,11892,4.0236892706218255,12.071067811865476,5,1
323,2,2,323_2_2024-02-19,1,6999,4.0236892706218255,12.071067811865476,5,1
323,2,2,323_2_2024-02-19,2,7562,6.666666666666667,20,5,0
323,2,2,323_2_2024-02-19,3,7204,3.72677996249965,11.180339887498949,0,2
323,3,3,323_3_2024-02-19,1,4509,0,0,0,3
323,3,3,323_3_2024-02-19,2,5288,0,0,0,3
323,3,3,323_3_2024-02-19,3,6967,5,15,5,0
324,1,1,324_1_2024-02-28,1,4935,4.0236892706218255,12.071067811865476,5,1
324,1,1,324_1_2024-02-28,2,4430,3.3333333333333335,10,5,1
324,1,1,324_1_2024-02-28,3,3837,0,0,0,3
324,2,2,324_2_2024-02-28,1,17485,5,15,5,0
324,2,2,324_2_2024-02-28,2,6138,4.0236892706218255,12.071067811865476,5,1
324,2,2,324_2_2024-02-28,3,3835,3.3333333333333335,10,5,1
324,3,3,324_3_2024-02-28,1,9401,4.0236892706218255,12.071067811865476,5,1
324,3,3,324_3_2024-02-28,2,3143,4.0236892706218255,12.071067811865476,5,1
324,3,3,324_3_2024-02-28,3,9140,1.6666666666666667,5,0,2
325,1,1,325_1_2024-02-22,1,6034,1.6666666666666667,5,0,2
325,1,1,325_1_2024-02-22,2,2701,1.6666666666666667,5,0,2
325,1,1,325_1_2024-02-22,3,2606,2.3570226039551585,7.0710678118654755,0,2
325,2,2,325_2_2024-02-22,1,3332,1.6666666666666667,5,0,2
325,2,2,325_2_2024-02-22,2,5022,0,0,0,3
325,2,2,325_2_2024-02-22,3,5800,1.6666666666666667,5,0,2
325,3,3,325_3_2024-02-22,1,2882,1.6666666666666667,5,0,2
325,3,3,325_3_2024-02-22,2,3073,3.3333333333333335,10,5,1
325,3,3,325_3_2024-02-22,3,4704,0,0,0,3
326,1,1,326_1_2024-03-11,1,6211,3.3333333333333335,10,5,1
326,1,1,326_1_2024-03-11,2,6944,3.3333333333333335,10,5,1
326,1,1,326_1_2024-03-11,3,3639,0,0,0,3
326,2,2,326_2_2024-03-11,1,9292,1.6666666666666667,5,0,2
326,2,2,326_2_2024-03-11,2,5828,0,0,0,3
326,2,2,326_2_2024-03-11,3,8019,0,0,0,3
326,3,3,326_3_2024-03-11,1,9079,5,15,5,0
326,3,3,326_3_2024-03-11,2,9087,1.6666666666666667,5,0,2
326,3,3,326_3_2024-03-11,3,9655,1.6666666666666667,5,0,2
327,1,1,327_1_2024-03-14,1,9476,5.393446629166316,16.18033988749895,5,1
327,1,1,327_1_2024-03-14,2,5515,0,0,0,3
327,1,1,327_1_2024-03-14,3,5003,3.3333333333333335,10,5,1
327,2,2,327_2_2024-03-14,1,2856,6.666666666666667,20,5,0
327,2,2,327_2_2024-03-14,2,4438,2.3570226039551585,7.0710678118654755,0,2
327,2,2,327_2_2024-03-14,3,9534,6.666666666666667,20,5,0
327,3,3,327_3_2024-03-14,1,5495,3.3333333333333335,10,0,2
327,3,3,327_3_2024-03-14,2,12854,8.440825170409967,25.3224755112299,7.0710678118654755,0
327,3,3,327_3_2024-03-14,3,10333,4.0236892706218255,12.071067811865476,5,1
328,1,1,328_1_2024-03-26,1,7704,0,0,0,3
328,1,1,328_1_2024-03-26,2,6734,5.6903559372884915,17.071067811865476,5,0
328,1,1,328_1_2024-03-26,3,7421,4.0236892706218255,12.071067811865476,5,1
328,2,2,328_2_2024-03-26,1,10112,7.3570226039551585,22.071067811865476,7.0710678118654755,0
328,2,2,328_2_2024-03-26,2,7151,3.3333333333333335,10,5,1
328,2,2,328_2_2024-03-26,3,7841,5,15,5,0
328,3,3,328_3_2024-03-26,1,4368,6.083802566454808,18.251407699364425,7.0710678118654755,1
328,3,3,328_3_2024-03-26,2,4924,0,0,0,3
328,3,3,328_3_2024-03-26,3,6056,5.6903559372884915,17.071067811865476,5,0
329,1,1,329_1_2024-04-02,1,5735,6.380711874576984,19.14213562373095,7.0710678118654755,0
329,1,1,329_1_2024-04-02,2,11154,5.6903559372884915,17.071067811865476,5,0
329,1,1,329_1_2024-04-02,3,6991,8.333333333333334,25,10,0
329,2,2,329_2_2024-04-02,1,4659,6.937129433613966,20.811388300841898,5,1
329,2,2,329_2_2024-04-02,2,4946,7.0710678118654755,21.213203435596427,7.0710678118654755,0
329,2,2,329_2_2024-04-02,3,8467,8.333333333333334,25,10,0
329,3,3,329_3_2024-04-02,1,5123,9.34258545910665,28.027756377319946,5,0
329,3,3,329_3_2024-04-02,2,3738,1.6666666666666667,5,0,2
329,3,3,329_3_2024-04-02,3,7138,9.714045207910317,29.14213562373095,10,0
330,1,1,330_1_2024-04-11,1,7488,0,0,0,3
330,1,1,330_1_2024-04-11,2,6337,5,15,5,1
330,1,1,330_1_2024-04-11,3,4643,0,0,0,3
330,2,2,330_2_2024-04-11,1,12052,3.3333333333333335,10,5,1
330,2,2,330_2_2024-04-11,2,6639,6.666666666666667,20,5,0
330,2,2,330_2_2024-04-11,3,3581,0,0,0,3
330,3,3,330_3_2024-04-11,1,3274,0,0,0,3
330,3,3,330_3_2024-04-11,2,15147,4.714045207910317,14.142135623730951,7.0710678118654755,1
330,3,3,330_3_2024-04-11,3,2470,0,0,0,3
331,1,1,331_1_2024-04-29,1,6713,7.060113295832983,21.18033988749895,5,0
331,1,1,331_1_2024-04-29,2,5327,5,15,5,0
331,1,1,331_1_2024-04-29,3,3674,9.417135899788141,28.251407699364425,10,0
331,2,2,331_2_2024-04-29,1,7740,5.6903559372884915,17.071067811865476,5,0
331,2,2,331_2_2024-04-29,2,7376,3.3333333333333335,10,5,1
331,2,2,331_2_2024-04-29,3,8986,4.0236892706218255,12.071067811865476,5,1
331,3,3,331_3_2024-04-29,1,2643,0,0,0,3
331,3,3,331_3_2024-04-29,2,2944,2.3570226039551585,7.0710678118654755,0,2
331,3,3,331_3_2024-04-29,3,6653,5,15,5,0
332,1,1,332_1_2024-07-10,1,3335,5.393446629166316,16.18033988749895,5,1
332,1,1,332_1_2024-07-10,2,10160,2.3570226039551585,7.0710678118654755,0,2
332,1,1,332_1_2024-07-10,3,3812,1.6666666666666667,5,0,2
332,2,2,332_2_2024-07-10,1,2908,1.6666666666666667,5,0,2
332,2,2,332_2_2024-07-10,2,4503,4.714045207910317,14.142135623730951,0,2
332,2,2,332_2_2024-07-10,3,5761,1.6666666666666667,5,0,2
332,3,3,332_3_2024-07-10,1,17863,8.333333333333334,25,5,0
332,3,3,332_3_2024-07-10,2,10317,3.3333333333333335,10,5,1
332,3,3,332_3_2024-07-10,3,3843,7.3570226039551585,22.071067811865476,7.0710678118654755,0
333,1,1,333_1_2024-05-09,1,7831,1.6666666666666667,5,0,2
333,1,1,333_1_2024-05-09,2,3798,1.6666666666666667,5,0,2
333,1,1,333_1_2024-05-09,3,8274,0,0,0,3
333,2,2,333_2_2024-05-09,1,6354,1.6666666666666667,5,0,2
333,2,2,333_2_2024-05-09,2,8251,0,0,0,3
333,2,2,333_2_2024-05-09,3,14964,1.6666666666666667,5,0,2
333,3,3,333_3_2024-05-09,1,5050,0,0,0,3
333,3,3,333_3_2024-05-09,2,31526,5,15,5,0
333,3,3,333_3_2024-05-09,3,13253,0,0,0,3
334,1,1,334_1_2024-05-07,1,7703,1.6666666666666667,5,0,2
334,1,1,334_1_2024-05-07,2,5758,1.6666666666666667,5,0,2
334,1,1,334_1_2024-05-07,3,8033,3.3333333333333335,10,5,1
334,2,2,334_2_2024-05-07,1,3058,0,0,0,3
334,2,2,334_2_2024-05-07,2,5405,1.6666666666666667,5,0,2
334,2,2,334_2_2024-05-07,3,4424,0,0,0,3
334,3,3,334_3_2024-05-07,1,4797,0,0,0,3
334,3,3,334_3_2024-05-07,2,3337,0,0,0,3
334,3,3,334_3_2024-05-07,3,4404,3.3333333333333335,10,5,1
335,1,1,335_1_2024-05-13,1,3025,2.3570226039551585,7.0710678118654755,0,2
335,1,1,335_1_2024-05-13,2,5287,3.3333333333333335,10,5,1
335,1,1,335_1_2024-05-13,3,9569,3.3333333333333335,10,5,1
335,2,2,335_2_2024-05-13,1,3368,1.6666666666666667,5,0,2
335,2,2,335_2_2024-05-13,2,2061,0,0,0,3
335,2,2,335_2_2024-05-13,3,12868,1.6666666666666667,5,0,2
335,3,3,335_3_2024-05-13,1,5159,0,0,0,3
335,3,3,335_3_2024-05-13,2,3942,0,0,0,3
335,3,3,335_3_2024-05-13,3,18121,0,0,0,3
336,1,1,336_1_2024-05-23,1,5836,0,0,0,3
336,1,1,336_1_2024-05-23,2,3730,0,0,0,3
336,1,1,336_1_2024-05-23,3,14823,5,15,5,1
336,2,2,336_2_2024-05-23,1,3297,0,0,0,3
336,2,2,336_2_2024-05-23,2,4839,3.3333333333333335,10,5,1
336,2,2,336_2_2024-05-23,3,11503,3.3333333333333335,10,5,1
336,3,3,336_3_2024-05-23,1,4172,0,0,0,3
336,3,3,336_3_2024-05-23,2,6472,3.3333333333333335,10,5,1
336,3,3,336_3_2024-05-23,3,5233,0,0,0,3
337,1,1,337_1_2024-07-24,1,7729,5,15,5,1
337,1,1,337_1_2024-07-24,2,11629,7.060113295832983,21.18033988749895,5,0
337,1,1,337_1_2024-07-24,3,7025,0,0,0,3
337,2,2,337_2_2024-07-24,1,6315,7.3570226039551585,22.071067811865476,7.0710678118654755,0
337,2,2,337_2_2024-07-24,2,10990,3.3333333333333335,10,5,1
337,2,2,337_2_2024-07-24,3,7932,3.3333333333333335,10,5,1
337,3,3,337_3_2024-07-24,1,5328,3.3333333333333335,10,5,1
337,3,3,337_3_2024-07-24,2,6223,3.3333333333333335,10,0,2
337,3,3,337_3_2024-07-24,3,5553,0,0,0,3
338,1,1,338_1_2024-07-15,1,8379,3.3333333333333335,10,5,1
338,1,1,338_1_2024-07-15,2,5883,5.6903559372884915,17.071067811865476,7.0710678118654755,1
338,1,1,338_1_2024-07-15,3,6903,4.0236892706218255,12.071067811865476,5,1
338,2,2,338_2_2024-07-15,1,4827,3.72677996249965,11.180339887498949,0,2
338,2,2,338_2_2024-07-15,2,5922,5.6903559372884915,17.071067811865476,5,0
338,2,2,338_2_2024-07-15,3,13472,7.4535599249993,22.360679774997898,11.180339887498949,1
338,3,3,338_3_2024-07-15,1,9574,3.3333333333333335,10,5,1
338,3,3,338_3_2024-07-15,2,11172,6.666666666666667,20,10,1
338,3,3,338_3_2024-07-15,3,12339,2.3570226039551585,7.0710678118654755,0,2
339,1,1,339_1_2024-07-22,1,6213,0,0,0,3
339,1,1,339_1_2024-07-22,2,5992,5,15,5,0
339,1,1,339_1_2024-07-22,3,3516,7.060113295832983,21.18033988749895,5,0
339,2,2,339_2_2024-07-22,1,6031,3.3333333333333335,10,5,1
339,2,2,339_2_2024-07-22,2,9545,3.3333333333333335,10,5,1
339,2,2,339_2_2024-07-22,3,5116,2.3570226039551585,7.0710678118654755,0,2
339,3,3,339_3_2024-07-22,1,7078,5,15,5,0
339,3,3,339_3_2024-07-22,2,9078,3.3333333333333335,10,5,1
339,3,3,339_3_2024-07-22,3,4517,1.6666666666666667,5,0,2
340,1,1,340_1_2024-07-30,1,3528,3.3333333333333335,10,5,1
340,1,1,340_1_2024-07-30,2,10657,9.023689270621825,27.071067811865476,7.0710678118654755,0
340,1,1,340_1_2024-07-30,3,9983,7.3570226039551585,22.071067811865476,7.0710678118654755,0
340,2,2,340_2_2024-07-30,1,10213,1.6666666666666667,5,0,2
340,2,2,340_2_2024-07-30,2,11513,7.060113295832983,21.18033988749895,10,1
340,2,2,340_2_2024-07-30,3,8602,6.380711874576984,19.14213562373095,7.0710678118654755,0
340,3,3,340_3_2024-07-30,1,3190,0,0,0,3
340,3,3,340_3_2024-07-30,2,3372,3.3333333333333335,10,5,1
340,3,3,340_3_2024-07-30,3,3910,1.6666666666666667,5,0,2
341,1,1,341_1_2024-08-12,1,4676,3.3333333333333335,10,5,1
341,1,1,341_1_2024-08-12,2,5277,5,15,5,1
341,1,1,341_1_2024-08-12,3,3565,6.666666666666667,20,5,0
341,2,2,341_2_2024-08-12,1,3575,4.714045207910317,14.142135623730951,7.0710678118654755,1
341,2,2,341_2_2024-08-12,2,3929,11.666666666666666,35,10,0
341,2,2,341_2_2024-08-12,3,3002,3.3333333333333335,10,5,1
341,3,3,341_3_2024-08-12,1,4005,5.6903559372884915,17.071067811865476,5,0
341,3,3,341_3_2024-08-12,2,2732,6.666666666666667,20,5,0
341,3,3,341_3_2024-08-12,3,4248,5,15,5,1
342,1,1,342_1_2024-08-19,1,3482,5.393446629166316,16.18033988749895,5,1
342,1,1,342_1_2024-08-19,2,7525,0,0,0,3
342,1,1,342_1_2024-08-19,3,4629,4.0236892706218255,12.071067811865476,5,1
342,2,2,342_2_2024-08-19,1,8148,5,15,5,0
342,2,2,342_2_2024-08-19,2,5419,5.6903559372884915,17.071067811865476,5,0
342,2,2,342_2_2024-08-19,3,7202,5.6903559372884915,17.071067811865476,5,0
342,3,3,342_3_2024-08-19,1,3864,3.3333333333333335,10,5,1
342,3,3,342_3_2024-08-19,2,6495,5.6903559372884915,17.071067811865476,5,0
342,3,3,342_3_2024-08-19,3,3457,5,15,5,1
343,1,1,343_1_2024-08-29,1,6245,0,0,0,3
343,1,1,343_1_2024-08-29,2,4832,9.417135899788141,28.251407699364425,10,0
343,1,1,343_1_2024-08-29,3,5041,4.0236892706218255,12.071067811865476,5,1
343,2,2,343_2_2024-08-29,1,4230,1.6666666666666667,5,0,2
343,2,2,343_2_2024-08-29,2,11749,5.393446629166316,16.18033988749895,5,1
343,2,2,343_2_2024-08-29,3,3272,4.0236892706218255,12.071067811865476,5,1
343,3,3,343_3_2024-08-29,1,5974,3.3333333333333335,10,5,1
343,3,3,343_3_2024-08-29,2,10057,5.6903559372884915,17.071067811865476,7.0710678118654755,1
343,3,3,343_3_2024-08-29,3,6063,7.060113295832983,21.18033988749895,5,0
346,1,1,346_1_2024-09-19,1,2609,5.6903559372884915,17.071067811865476,5,0
346,1,1,346_1_2024-09-19,2,3808,5,15,5,0
346,1,1,346_1_2024-09-19,3,9020,8.333333333333334,25,10,0
346,2,2,346_2_2024-09-19,1,5406,2.3570226039551585,7.0710678118654755,0,2
346,2,2,346_2_2024-09-19,2,5829,4.0236892706218255,12.071067811865476,5,1
346,2,2,346_2_2024-09-19,3,5619,1.6666666666666667,5,0,2
346,3,3,346_3_2024-09-19,1,4385,0,0,0,3
346,3,3,346_3_2024-09-19,2,4057,1.6666666666666667,5,0,2
346,3,3,346_3_2024-09-19,3,7204,5,15,5,0
347,1,1,347_1_2024-09-23,1,5624,5,15,5,0
347,1,1,347_1_2024-09-23,2,3215,8.72677996249965,26.18033988749895,10,0
347,1,1,347_1_2024-09-23,3,5218,3.3333333333333335,10,5,1
347,2,2,347_2_2024-09-23,1,5087,4.0236892706218255,12.071067811865476,5,1
347,2,2,347_2_2024-09-23,2,3197,0,0,0,3
347,2,2,347_2_2024-09-23,3,6861,1.6666666666666667,5,0,2
347,3,3,347_3_2024-09-23,1,3632,5,15,5,0
347,3,3,347_3_2024-09-23,2,2928,0,0,0,3
347,3,3,347_3_2024-09-23,3,3950,1.6666666666666667,5,0,2
348,1,1,348_1_2024-10-01,1,7821,1.6666666666666667,5,0,2
348,1,1,348_1_2024-10-01,2,2615,0,0,0,3
348,1,1,348_1_2024-10-01,3,2915,0,0,0,3
348,2,2,348_2_2024-10-01,1,4357,0,0,0,3
348,2,2,348_2_2024-10-01,2,3318,0,0,0,3
348,2,2,348_2_2024-10-01,3,3172,3.3333333333333335,10,5,1
348,3,3,348_3_2024-10-01,1,3461,1.6666666666666667,5,0,2
348,3,3,348_3_2024-10-01,2,6915,0,0,0,3
348,3,3,348_3_2024-10-01,3,4665,4.0236892706218255,12.071067811865476,5,1
349,1,1,349_1_2024-09-24,1,4893,4.0236892706218255,12.071067811865476,5,1
349,1,1,349_1_2024-09-24,2,11370,6.380711874576984,19.14213562373095,7.0710678118654755,0
349,1,1,349_1_2024-09-24,3,11940,4.0236892706218255,12.071067811865476,5,1
349,2,2,349_2_2024-09-24,1,12899,5,15,5,0
349,2,2,349_2_2024-09-24,2,11135,4.0236892706218255,12.071067811865476,5,1
349,2,2,349_2_2024-09-24,3,39502,4.0236892706218255,12.071067811865476,5,1
349,3,3,349_3_2024-09-24,1,10471,5.6903559372884915,17.071067811865476,5,0
349,3,3,349_3_2024-09-24,2,11911,6.380711874576984,19.14213562373095,7.0710678118654755,0
349,3,3,349_3_2024-09-24,3,6923,5,15,5,0
351,2,1,351_2_2024-09-26,1,10693,5.6903559372884915,17.071067811865476,5,0
351,2,1,351_2_2024-09-26,2,19567,5.6903559372884915,17.071067811865476,5,0
351,2,1,351_2_2024-09-26,3,8568,0,0,0,3
351,3,2,351_3_2024-09-26,1,7380,1.6666666666666667,5,0,2
351,3,2,351_3_2024-09-26,2,14289,5,15,5,0
351,3,2,351_3_2024-09-26,3,8358,3.3333333333333335,10,5,1
351,4,3,351_4_2024-09-26,1,10704,2.3570226039551585,7.0710678118654755,0,2
351,4,3,351_4_2024-09-26,2,11882,5,15,5,0
351,4,3,351_4_2024-09-26,3,7566,0,0,0,3
352,1,1,352_1_2024-11-21,1,3120,5,15,5,0
352,1,1,352_1_2024-11-21,2,3058,1.6666666666666667,5,0,2
352,1,1,352_1_2024-11-21,3,2868,5,15,5,0
352,2,2,352_2_2024-11-21,1,4240,0,0,0,3
352,2,2,352_2_2024-11-21,2,3389,0,0,0,3
352,2,2,352_2_2024-11-21,3,4498,5,15,5,0
352,3,3,352_3_2024-11-21,1,5569,1.6666666666666667,5,0,2
352,3,3,352_3_2024-11-21,2,2190,0,0,0,3
352,3,3,352_3_2024-11-21,3,3071,0,0,0,3
353,2,1,353_2_2024-10-21,1,10810,5.6903559372884915,17.071067811865476,5,0
353,2,1,353_2_2024-10-21,2,10800,1.6666666666666667,5,0,2
