id,session,session_seq,visit_id,block,n_change,n_no_change,hit_rate,fa_rate,correc
330,3,3,330_3_2024-04-11,3,1,1,1,0,1
330,3,3,330_3_2024-04-11,4,1,1,1,0,1
330,3,3,330_3_2024-04-11,5,1,1,1,0,1
331,1,1,331_1_2024-04-29,1,1,1,1,0,1
331,1,1,331_1_2024-04-29,2,1,1,1,0,1
331,1,1,331_1_2024-04-29,3,1,1,1,0,1
331,1,1,331_1_2024-04-29,4,1,1,1,0,1
331,1,1,331_1_2024-04-29,5,1,1,1,1,0
331,2,2,331_2_2024-04-29,1,1,1,1,0,1
331,2,2,331_2_2024-04-29,2,1,1,1,0,1
331,2,2,331_2_2024-04-29,3,1,1,1,0,1
331,2,2,331_2_2024-04-29,4,1,1,1,0,1
331,2,2,331_2_2024-04-29,5,1,1,1,0,1
331,3,3,331_3_2024-04-29,1,1,1,1,0,1
331,3,3,331_3_2024-04-29,2,1,1,0,1,-1
331,3,3,331_3_2024-04-29,3,1,1,1,0,1
331,3,3,331_3_2024-04-29,4,1,1,0,0,0
331,3,3,331_3_2024-04-29,5,1,1,0,0,0
332,1,1,332_1_2024-07-10,1,1,1,0,0,0
332,1,1,332_1_2024-07-10,2,1,1,0,0,0
332,1,1,332_1_2024-07-10,3,1,1,0,0,0
332,1,1,332_1_2024-07-10,4,1,1,1,0,1
332,1,1,332_1_2024-07-10,5,1,1,1,0,1
332,2,2,332_2_2024-07-10,1,1,1,0,0,0
332,2,2,332_2_2024-07-10,2,1,1,0,0,0
332,2,2,332_2_2024-07-10,3,1,1,0,0,0
332,2,2,332_2_2024-07-10,4,1,1,0,0,0
332,2,2,332_2_2024-07-10,5,1,1,0,0,0
332,3,3,332_3_2024-07-10,1,1,1,0,0,0
332,3,3,332_3_2024-07-10,2,1,1,0,0,0
332,3,3,332_3_2024-07-10,3,1,1,0,0,0
332,3,3,332_3_2024-07-10,4,1,1,1,0,1
332,3,3,332_3_2024-07-10,5,1,1,0,0,0
333,1,1,333_1_2024-05-09,1,1,1,0,0,0
333,1,1,333_1_2024-05-09,2,1,1,0,0,0
333,1,1,333_1_2024-05-09,3,1,1,0,0,0
333,1,1,333_1_2024-05-09,4,1,1,0,1,-1
333,1,1,333_1_2024-05-09,5,1,1,0,0,0
333,2,2,333_2_2024-05-09,1,1,1,0,0,0
333,2,2,333_2_2024-05-09,2,1,1,0,1,-1
333,2,2,333_2_2024-05-09,3,1,1,0,0,0
333,2,2,333_2_2024-05-09,4,1,1,0,0,0
333,2,2,333_2_2024-05-09,5,1,1,1,0,1
333,3,3,333_3_2024-05-09,1,1,1,0,0,0
333,3,3,333_3_2024-05-09,2,1,1,0,0,0
333,3,3,333_3_2024-05-09,3,1,1,0,0,0
333,3,3,333_3_2024-05-09,4,1,1,1,0,1
333,3,3,333_3_2024-05-09,5,1,1,0,0,0
334,1,1,334_1_2024-05-07,1,1,1,1,1,0
334,1,1,334_1_2024-05-07,2,1,1,0,0,0
334,1,1,334_1_2024-05-07,3,1,1,0,0,0
334,1,1,334_1_2024-05-07,4,1,1,1,1,0
334,1,1,334_1_2024-05-07,5,1,1,1,0,1
334,2,2,334_2_2024-05-07,1,1,1,1,0,1
334,2,2,334_2_2024-05-07,2,1,1,1,1,0
334,2,2,334_2_2024-05-07,3,1,1,1,0,1
334,2,2,334_2_2024-05-07,4,1,1,1,0,1
334,2,2,334_2_2024-05-07,5,1,1,0,0,0
334,3,3,334_3_2024-05-07,1,1,1,0,0,0
334,3,3,334_3_2024-05-07,2,1,1,1,1,0
334,3,3,334_3_2024-05-07,3,1,1,1,0,1
334,3,3,334_3_2024-05-07,4,1,1,1,1,0
334,3,3,334_3_2024-05-07,5,1,1,1,0,1
335,1,1,335_1_2024-05-13,1,1,1,1,0,1
335,1,1,335_1_2024-05-13,2,1,1,0,0,0
335,1,1,335_1_2024-05-13,3,1,1,0,0,0
335,1,1,335_1_2024-05-13,4,1,1,0,0,0
335,1,1,335_1_2024-05-13,5,1,1,0,0,0
335,2,2,335_2_2024-05-13,1,1,1,1,0,1
335,2,2,335_2_2024-05-13,2,1,1,0,0,0
335,2,2,335_2_2024-05-13,3,1,1,0,0,0
335,2,2,335_2_2024-05-13,4,1,1,0,0,0
335,2,2,335_2_2024-05-13,5,1,1,0,0,0
335,3,3,335_3_2024-05-13,1,1,1,1,0,1
335,3,3,335_3_2024-05-13,2,1,1,1,0,1
335,3,3,335_3_2024-05-13,3,1,1,0,0,0
335,3,3,335_3_2024-05-13,4,1,1,0,0,0
335,3,3,335_3_2024-05-13,5,1,1,1,0,1
336,1,1,336_1_2024-05-23,1,1,1,1,0,1
336,1,1,336_1_2024-05-23,2,1,1,0,0,0
336,1,1,336_1_2024-05-23,3,1,1,0,0,0
336,1,1,336_1_2024-05-23,4,1,1,1,0,1
336,1,1,336_1_2024-05-23,5,1,1,1,0,1
336,2,2,336_2_2024-05-23,1,1,1,0,0,0
336,2,2,336_2_2024-05-23,2,1,1,0,0,0
336,2,2,336_2_2024-05-23,3,1,1,0,0,0
336,2,2,336_2_2024-05-23,4,1,1,0,0,0
336,2,2,336_2_2024-05-23,5,1,1,1,0,1
336,3,3,336_3_2024-05-23,1,1,1,1,0,1
336,3,3,336_3_2024-05-23,2,1,1,0,0,0
336,3,3,336_3_2024-05-23,3,1,1,1,0,1
336,3,3,336_3_2024-05-23,4,1,1,1,0,1
336,3,3,336_3_2024-05-23,5,1,1,1,0,1
337,1,1,337_1_2024-07-24,1,1,1,0,0,0
337,1,1,337_1_2024-07-24,2,1,1,1,0,1
337,1,1,337_1_2024-07-24,3,1,1,0,0,0
337,1,1,337_1_2024-07-24,4,1,1,1,0,1
337,1,1,337_1_2024-07-24,5,1,1,0,0,0
337,2,2,337_2_2024-07-24,1,1,1,0,0,0
337,2,2,337_2_2024-07-24,2,1,1,0,0,0
337,2,2,337_2_2024-07-24,3,1,1,0,0,0
337,2,2,337_2_2024-07-24,4,1,1,0,0,0
337,2,2,337_2_2024-07-24,5,1,1,0,0,0
337,3,3,337_3_2024-07-24,1,1,1,1,0,1
337,3,3,337_3_2024-07-24,2,1,1,1,0,1
337,3,3,337_3_2024-07-24,3,1,1,0,0,0
337,3,3,337_3_2024-07-24,4,1,1,0,0,0
337,3,3,337_3_2024-07-24,5,1,1,0,1,-1
338,1,1,338_1_2024-07-15,1,1,1,0,0,0
338,1,1,338_1_2024-07-15,2,1,1,0,1,-1
338,1,1,338_1_2024-07-15,3,1,1,1,0,1
338,1,1,338_1_2024-07-15,4,1,1,1,0,1
338,1,1,338_1_2024-07-15,5,1,1,0,0,0
338,2,2,338_2_2024-07-15,1,1,1,0,0,0
338,2,2,338_2_2024-07-15,2,1,1,1,1,0
338,2,2,338_2_2024-07-15,3,1,1,1,0,1
338,2,2,338_2_2024-07-15,4,1,1,1,0,1
338,2,2,338_2_2024-07-15,5,1,1,1,0,1
338,3,3,338_3_2024-07-15,1,1,1,1,0,1
338,3,3,338_3_2024-07-15,2,1,1,1,0,1
338,3,3,338_3_2024-07-15,3,1,1,1,0,1
338,3,3,338_3_2024-07-15,4,1,1,1,1,0
338,3,3,338_3_2024-07-15,5,1,1,1,0,1
339,1,1,339_1_2024-07-22,1,1,1,1,0,1
339,1,1,339_1_2024-07-22,2,1,1,1,0,1
339,1,1,339_1_2024-07-22,3,1,1,1,0,1
339,1,1,339_1_2024-07-22,4,1,1,1,0,1
339,1,1,339_1_2024-07-22,5,1,1,1,0,1
339,2,2,339_2_2024-07-22,1,1,1,1,0,1
339,2,2,339_2_2024-07-22,2,1,1,1,0,1
339,2,2,339_2_2024-07-22,3,1,1,0,0,0
339,2,2,339_2_2024-07-22,4,1,1,1,0,1
339,2,2,339_2_2024-07-22,5,1,1,1,0,1
339,3,3,339_3_2024-07-22,1,1,1,1,0,1
339,3,3,339_3_2024-07-22,2,1,1,1,0,1
339,3,3,339_3_2024-07-22,3,1,1,1,0,1
339,3,3,339_3_2024-07-22,4,1,1,1,0,1
339,3,3,339_3_2024-07-22,5,1,1,0,0,0
340,1,1,340_1_2024-07-30,1,1,1,0,0,0
340,1,1,340_1_2024-07-30,2,1,1,1,0,1
340,1,1,340_1_2024-07-30,3,1,1,0,0,0
340,1,1,340_1_2024-07-30,4,1,1,0,1,-1
