user_id,visit_id,session,visit_date,flag_type,flag_detail
324,324_1_2024-02-28,1,2024-02-28,superseded_attempt,Earlier attempt discarded (exit_status MINIMIZE/FORCE_CLOSE); kept the later complete file
325,325_2_2024-02-22,2,2024-02-22,incomplete_session,Held out of cleaned data: exit_status is MINIMIZE/FORCE_CLOSE at thank_you_screen
325,325_2_2024-02-22,2,2024-02-22,superseded_attempt,Earlier attempt discarded (exit_status MINIMIZE/FORCE_CLOSE); kept the later complete file
325,325_4_2024-02-22,4,2024-02-22,incomplete_session,Held out of cleaned data: exit_status is GO_MENU start_menu at before_intro
329,329_1_2024-04-02,1,2024-04-02,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
329,329_1_2024-04-02,1,2024-04-02,low_accuracy,Dot Memory has zero correctly placed dots across all trials
329,329_2_2024-04-02,2,2024-04-02,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
329,329_3_2024-04-02,3,2024-04-02,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is -0.20, at or below chance"
331,331_1_2024-04-29,1,2024-04-29,low_accuracy,Dot Memory has zero correctly placed dots across all trials
332,332_2_2024-07-10,2,2024-07-10,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
333,333_1_2024-05-09,1,2024-05-09,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is -0.20, at or below chance"
333,333_2_2024-05-09,2,2024-05-09,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
333,333_4_2024-05-09,4,2024-05-09,incomplete_session,Held out of cleaned data: exit_status is GO_MENU start_menu at before_intro
337,337_2_2024-07-24,2,2024-07-24,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
340,340_1_2024-07-30,1,2024-07-30,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
340,340_2_2024-07-30,2,2024-07-30,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is -0.40, at or below chance"
340,340_3_2024-07-30,3,2024-07-30,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
341,341_1_2024-08-12,1,2024-08-12,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
341,341_2_2024-08-12,2,2024-08-12,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is -0.40, at or below chance"
341,341_3_2024-08-12,3,2024-08-12,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
342,342_2_2024-08-19,2,2024-08-19,low_accuracy,Dot Memory has zero correctly placed dots across all trials
346,346_1_2024-09-19,1,2024-09-19,low_accuracy,Dot Memory has zero correctly placed dots across all trials
347,347_2_2024-09-23,2,2024-09-23,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
349,349_3_2024-09-24,3,2024-09-24,low_accuracy,Dot Memory has zero correctly placed dots across all trials
353,353_4_2024-10-21,4,2024-10-21,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
354,354_1_2024-10-29,1,2024-10-29,incomplete_session,Held out of cleaned data: exit_status is MINIMIZE/FORCE_CLOSE at thank_you_screen
354,354_1_2024-10-29,1,2024-10-29,superseded_attempt,Earlier attempt discarded (exit_status MINIMIZE/FORCE_CLOSE); kept the later complete file
355,355_1_2024-11-07,1,2024-11-07,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
