id,session,session_seq,visit_id,half,n_change,n_no_change,hit_rate,fa_rate,correc
317,2,2,317_2_2023-10-13,odd,4,1,0.25,0,0.25
317,3,3,317_3_2023-10-13,even,2,3,0,0,0
317,3,3,317_3_2023-10-13,odd,3,2,0.6666666666666666,0.5,0.16666666666666663
318,1,1,318_1_2024-01-10,even,2,3,0,0.3333333333333333,-0.3333333333333333
318,1,1,318_1_2024-01-10,odd,3,2,1,0.5,0.5
318,2,2,318_2_2024-01-10,even,3,2,1,0,1
318,2,2,318_2_2024-01-10,odd,2,3,1,0,1
318,3,3,318_3_2024-01-10,even,4,1,1,0,1
318,3,3,318_3_2024-01-10,odd,1,4,0,0,0
319,1,1,319_1_2024-01-05,even,3,2,1,0.5,0.5
319,1,1,319_1_2024-01-05,odd,2,3,0,0.6666666666666666,-0.6666666666666666
319,2,2,319_2_2024-01-05,even,2,3,0.5,0,0.5
319,2,2,319_2_2024-01-05,odd,3,2,0.3333333333333333,0,0.3333333333333333
319,3,3,319_3_2024-01-05,even,4,1,0.5,0,0.5
319,3,3,319_3_2024-01-05,odd,1,4,0,0,0
320,1,1,320_1_2024-01-24,even,2,3,1,0,1
320,1,1,320_1_2024-01-24,odd,3,2,0.3333333333333333,0,0.3333333333333333
320,2,2,320_2_2024-01-24,even,2,3,1,0,1
320,2,2,320_2_2024-01-24,odd,3,2,0.3333333333333333,0.5,-0.16666666666666669
320,3,3,320_3_2024-01-24,even,2,3,0,0,0
320,3,3,320_3_2024-01-24,odd,3,2,0.3333333333333333,0,0.3333333333333333
321,1,1,321_1_2024-02-05,even,2,3,1,0.3333333333333333,0.6666666666666667
321,1,1,321_1_2024-02-05,odd,3,2,0.3333333333333333,0,0.3333333333333333
321,2,2,321_2_2024-02-05,even,3,2,0.3333333333333333,0,0.3333333333333333
321,2,2,321_2_2024-02-05,odd,2,3,0,0.3333333333333333,-0.3333333333333333
321,3,3,321_3_2024-02-05,even,3,2,0.3333333333333333,1,-0.6666666666666667
321,3,3,321_3_2024-02-05,odd,2,3,1,1,0
322,1,1,322_1_2024-02-13,even,3,2,0.6666666666666666,0,0.6666666666666666
322,1,1,322_1_2024-02-13,odd,2,3,1,0.3333333333333333,0.6666666666666667
322,2,2,322_2_2024-02-13,even,3,2,1,0,1
322,2,2,322_2_2024-02-13,odd,2,3,1,0,1
322,3,3,322_3_2024-02-13,even,1,4,0,0,0
322,3,3,322_3_2024-02-13,odd,4,1,1,0,1
323,1,1,323_1_2024-02-19,even,2,3,0.5,0,0.5
323,1,1,323_1_2024-02-19,odd,3,2,0.6666666666666666,0,0.6666666666666666
323,2,2,323_2_2024-02-19,even,3,2,0.3333333333333333,0,0.3333333333333333
323,2,2,323_2_2024-02-19,odd,2,3,0,0,0
323,3,3,323_3_2024-02-19,even,4,1,0.5,0,0.5
323,3,3,323_3_2024-02-19,odd,1,4,0,0,0
324,1,1,324_1_2024-02-28,even,4,1,0.75,0,0.75
324,1,1,324_1_2024-02-28,odd,1,4,1,0,1
324,2,2,324_2_2024-02-28,even,3,2,0.3333333333333333,0,0.3333333333333333
324,2,2,324_2_2024-02-28,odd,2,3,0,0,0
324,3,3,324_3_2024-02-28,even,1,4,1,0,1
324,3,3,324_3_2024-02-28,odd,4,1,0.5,0,0.5
325,1,1,325_1_2024-02-22,even,4,1,1,0,1
325,1,1,325_1_2024-02-22,odd,1,4,1,0,1
325,2,2,325_2_2024-02-22,even,3,2,0.3333333333333333,0,0.3333333333333333
325,2,2,325_2_2024-02-22,odd,2,3,0,0,0
325,3,3,325_3_2024-02-22,even,2,3,0.5,0.3333333333333333,0.16666666666666669
325,3,3,325_3_2024-02-22,odd,3,2,1,0,1
326,1,1,326_1_2024-03-11,even,3,2,1,0.5,0.5
326,1,1,326_1_2024-03-11,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
326,2,2,326_2_2024-03-11,even,3,2,0.6666666666666666,0.5,0.16666666666666663
326,2,2,326_2_2024-03-11,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
326,3,3,326_3_2024-03-11,even,2,3,1,0,1
326,3,3,326_3_2024-03-11,odd,3,2,0.6666666666666666,0,0.6666666666666666
327,1,1,327_1_2024-03-14,even,2,3,0.5,0,0.5
327,1,1,327_1_2024-03-14,odd,3,2,0,0,0
327,2,2,327_2_2024-03-14,even,2,3,0,0,0
327,2,2,327_2_2024-03-14,odd,3,2,0.6666666666666666,0,0.6666666666666666
327,3,3,327_3_2024-03-14,even,2,3,1,0,1
327,3,3,327_3_2024-03-14,odd,3,2,0.6666666666666666,0,0.6666666666666666
328,1,1,328_1_2024-03-26,even,3,2,0.6666666666666666,0.5,0.16666666666666663
328,1,1,328_1_2024-03-26,odd,2,3,0.5,0,0.5
328,2,2,328_2_2024-03-26,even,2,3,0.5,0.3333333333333333,0.16666666666666669
328,2,2,328_2_2024-03-26,odd,3,2,0.6666666666666666,0,0.6666666666666666
328,3,3,328_3_2024-03-26,even,2,3,1,0.3333333333333333,0.6666666666666667
328,3,3,328_3_2024-03-26,odd,3,2,0,0,0
329,1,1,329_1_2024-04-02,even,2,3,0.5,0.6666666666666666,-0.16666666666666663
329,1,1,329_1_2024-04-02,odd,3,2,0.3333333333333333,0,0.3333333333333333
329,2,2,329_2_2024-04-02,even,1,4,0,0.25,-0.25
329,2,2,329_2_2024-04-02,odd,4,1,0.25,0,0.25
329,3,3,329_3_2024-04-02,even,4,1,0.5,1,-0.5
329,3,3,329_3_2024-04-02,odd,1,4,0,0.5,-0.5
330,1,1,330_1_2024-04-11,even,3,2,0.6666666666666666,0.5,0.16666666666666663
330,1,1,330_1_2024-04-11,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
330,2,2,330_2_2024-04-11,even,3,2,0,0,0
330,2,2,330_2_2024-04-11,odd,2,3,1,0,1
330,3,3,330_3_2024-04-11,even,2,3,1,0,1
330,3,3,330_3_2024-04-11,odd,3,2,0.6666666666666666,0,0.6666666666666666
331,1,1,331_1_2024-04-29,even,2,3,1,0.3333333333333333,0.6666666666666667
331,1,1,331_1_2024-04-29,odd,3,2,1,0,1
331,2,2,331_2_2024-04-29,even,3,2,1,0,1
331,2,2,331_2_2024-04-29,odd,2,3,1,0,1
331,3,3,331_3_2024-04-29,even,2,3,0.5,0.3333333333333333,0.16666666666666669
331,3,3,331_3_2024-04-29,odd,3,2,0.3333333333333333,0,0.3333333333333333
332,1,1,332_1_2024-07-10,even,3,2,0.6666666666666666,0,0.6666666666666666
332,1,1,332_1_2024-07-10,odd,2,3,0,0,0
332,2,2,332_2_2024-07-10,even,3,2,0,0,0
332,2,2,332_2_2024-07-10,odd,2,3,0,0,0
332,3,3,332_3_2024-07-10,even,2,3,0.5,0,0.5
332,3,3,332_3_2024-07-10,odd,3,2,0,0,0
333,1,1,333_1_2024-05-09,even,2,3,0,0,0
333,1,1,333_1_2024-05-09,odd,3,2,0,0.5,-0.5
333,2,2,333_2_2024-05-09,even,4,1,0,0,0
333,2,2,333_2_2024-05-09,odd,1,4,1,0.25,0.75
333,3,3,333_3_2024-05-09,even,3,2,0,0,0
333,3,3,333_3_2024-05-09,odd,2,3,0.5,0,0.5
334,1,1,334_1_2024-05-07,even,4,1,0.75,0,0.75
334,1,1,334_1_2024-05-07,odd,1,4,0,0.5,-0.5
334,2,2,334_2_2024-05-07,even,4,1,0.75,0,0.75
334,2,2,334_2_2024-05-07,odd,1,4,1,0.25,0.75
334,3,3,334_3_2024-05-07,even,3,2,0.6666666666666666,0.5,0.16666666666666663
334,3,3,334_3_2024-05-07,odd,2,3,1,0.3333333333333333,0.6666666666666667
335,1,1,335_1_2024-05-13,even,3,2,0.3333333333333333,0,0.3333333333333333
335,1,1,335_1_2024-05-13,odd,2,3,0,0,0
335,2,2,335_2_2024-05-13,even,2,3,0.5,0,0.5
335,2,2,335_2_2024-05-13,odd,3,2,0,0,0
335,3,3,335_3_2024-05-13,even,2,3,0.5,0,0.5
335,3,3,335_3_2024-05-13,odd,3,2,0.6666666666666666,0,0.6666666666666666
336,1,1,336_1_2024-05-23,even,1,4,1,0,1
336,1,1,336_1_2024-05-23,odd,4,1,0.5,0,0.5
336,2,2,336_2_2024-05-23,even,4,1,0.25,0,0.25
336,2,2,336_2_2024-05-23,odd,1,4,0,0,0
336,3,3,336_3_2024-05-23,even,2,3,1,0,1
336,3,3,336_3_2024-05-23,odd,3,2,0.6666666666666666,0,0.6666666666666666
337,1,1,337_1_2024-07-24,even,3,2,0.3333333333333333,0,0.3333333333333333
337,1,1,337_1_2024-07-24,odd,2,3,0.5,0,0.5
337,2,2,337_2_2024-07-24,even,3,2,0,0,0
337,2,2,337_2_2024-07-24,odd,2,3,0,0,0
337,3,3,337_3_2024-07-24,even,2,3,0,0,0
337,3,3,337_3_2024-07-24,odd,3,2,0.6666666666666666,0.5,0.16666666666666663
338,1,1,338_1_2024-07-15,even,3,2,0.3333333333333333,0,0.3333333333333333
338,1,1,338_1_2024-07-15,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
338,2,2,338_2_2024-07-15,even,2,3,1,0,1
338,2,2,338_2_2024-07-15,odd,3,2,0.6666666666666666,0.5,0.16666666666666663
338,3,3,338_3_2024-07-15,even,3,2,1,0.5,0.5
338,3,3,338_3_2024-07-15,odd,2,3,1,0,1
339,1,1,339_1_2024-07-22,even,3,2,1,0,1
339,1,1,339_1_2024-07-22,odd,2,3,1,0,1
339,2,2,339_2_2024-07-22,even,4,1,0.75,0,0.75
339,2,2,339_2_2024-07-22,odd,1,4,1,0,1
339,3,3,339_3_2024-07-22,even,2,3,0.5,0,0.5
339,3,3,339_3_2024-07-22,odd,3,2,1,0,1
340,1,1,340_1_2024-07-30,even,2,3,0.5,0.3333333333333333,0.16666666666666669
340,1,1,340_1_2024-07-30,odd,3,2,0,0,0
340,2,2,340_2_2024-07-30,even,4,1,0,0,0
340,2,2,340_2_2024-07-30,odd,1,4,0,0.5,-0.5
340,3,3,340_3_2024-07-30,even,2,3,0,0,0
340,3,3,340_3_2024-07-30,odd,3,2,0.3333333333333333,0.5,-0.16666666666666669
341,1,1,341_1_2024-08-12,even,3,2,0.3333333333333333,0.5,-0.16666666666666669
341,1,1,341_1_2024-08-12,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
341,2,2,341_2_2024-08-12,even,2,3,0,0.3333333333333333,-0.3333333333333333
341,2,2,341_2_2024-08-12,odd,3,2,0,0.5,-0.5
341,3,3,341_3_2024-08-12,even,3,2,0,0.5,-0.5
341,3,3,341_3_2024-08-12,odd,2,3,0.5,0,0.5
342,1,1,342_1_2024-08-19,even,1,4,1,0,1
342,1,1,342_1_2024-08-19,odd,4,1,0.75,1,-0.25
342,2,2,342_2_2024-08-19,even,3,2,0,0,0
342,2,2,342_2_2024-08-19,odd,2,3,1,0,1
342,3,3,342_3_2024-08-19,even,1,4,0,0,0
342,3,3,342_3_2024-08-19,odd,4,1,0.5,0,0.5
343,1,1,343_1_2024-08-29,even,3,2,0.3333333333333333,0.5,-0.16666666666666669
343,1,1,343_1_2024-08-29,odd,2,3,0.5,0,0.5
343,2,2,343_2_2024-08-29,even,3,2,0.6666666666666666,0,0.6666666666666666
343,2,2,343_2_2024-08-29,odd,2,3,0,0.3333333333333333,-0.3333333333333333
343,3,3,343_3_2024-08-29,even,2,3,0.5,0,0.5
343,3,3,343_3_2024-08-29,odd,3,2,0.6666666666666666,0,0.6666666666666666
346,1,1,346_1_2024-09-19,even,2,3,0.5,0,0.5
346,1,1,346_1_2024-09-19,odd,3,2,0.6666666666666666,0,0.6666666666666666
346,2,2,346_2_2024-09-19,even,1,4,0,0,0
346,2,2,346_2_2024-09-19,odd,4,1,0.5,0,0.5
346,3,3,346_3_2024-09-19,even,2,3,1,0,1
346,3,3,346_3_2024-09-19,odd,3,2,0.6666666666666666,0,0.6666666666666666
347,1,1,347_1_2024-09-23,even,2,3,0.5,0,0.5
347,1,1,347_1_2024-09-23,odd,3,2,1,0,1
347,2,2,347_2_2024-09-23,even,3,2,0,0.5,-0.5
347,2,2,347_2_2024-09-23,odd,2,3,0.5,0,0.5
347,3,3,347_3_2024-09-23,even,2,3,0.5,0,0.5
347,3,3,347_3_2024-09-23,odd,3,2,0,0,0
348,1,1,348_1_2024-10-01,even,2,3,0.5,0,0.5
348,1,1,348_1_2024-10-01,odd,3,2,0.3333333333333333,0,0.3333333333333333
348,2,2,348_2_2024-10-01,even,2,3,1,0,1
348,2,2,348_2_2024-10-01,odd,3,2,1,0,1
348,3,3,348_3_2024-10-01,even,2,3,1,0,1
348,3,3,348_3_2024-10-01,odd,3,2,1,0,1
349,1,1,349_1_2024-09-24,even,4,1,0.75,0,0.75
349,1,1,349_1_2024-09-24,odd,1,4,1,0,1
349,2,2,349_2_2024-09-24,even,3,2,1,0,1
349,2,2,349_2_2024-09-24,odd,2,3,1,0,1
349,3,3,349_3_2024-09-24,even,3,2,0.6666666666666666,0,0.6666666666666666
349,3,3,349_3_2024-09-24,odd,2,3,0.5,0,0.5
351,2,1,351_2_2024-09-26,even,2,3,1,0.3333333333333333,0.6666666666666667
351,2,1,351_2_2024-09-26,odd,3,2,0.3333333333333333,0,0.3333333333333333
351,3,2,351_3_2024-09-26,even,3,2,1,0,1
351,3,2,351_3_2024-09-26,odd,2,3,1,0,1
351,4,3,351_4_2024-09-26,even,4,1,0.75,0,0.75
351,4,3,351_4_2024-09-26,odd,1,4,1,0,1
352,1,1,352_1_2024-11-21,even,4,1,1,0,1
352,1,1,352_1_2024-11-21,odd,1,4,0,0,0
352,2,2,352_2_2024-11-21,even,2,3,1,0,1
352,2,2,352_2_2024-11-21,odd,3,2,1,0,1
352,3,3,352_3_2024-11-21,even,2,3,0.5,0,0.5
352,3,3,352_3_2024-11-21,odd,3,2,1,0,1
353,2,1,353_2_2024-10-21,even,1,4,0,0,0
353,2,1,353_2_2024-10-21,odd,4,1,0.75,0,0.75
353,3,2,353_3_2024-10-21,even,2,3,0,0,0
353,3,2,353_3_2024-10-21,odd,3,2,0.6666666666666666,0,0.6666666666666666
353,4,3,353_4_2024-10-21,even,3,2,0.3333333333333333,0,0.3333333333333333
353,4,3,353_4_2024-10-21,odd,2,3,0,0.3333333333333333,-0.3333333333333333
354,1,1,354_1_2024-10-29,even,3,2,1,0,1
354,1,1,354_1_2024-10-29,odd,2,3,0.5,0,0.5
354,2,2,354_2_2024-10-29,even,3,2,1,0.5,0.5
354,2,2,354_2_2024-10-29,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
354,3,3,354_3_2024-10-29,even,2,3,1,0,1
354,3,3,354_3_2024-10-29,odd,3,2,1,0,1
355,1,1,355_1_2024-11-07,even,2,3,0.5,0,0.5
355,1,1,355_1_2024-11-07,odd,3,2,0,0.5,-0.5
355,2,2,355_2_2024-11-07,even,3,2,1,0,1
355,2,2,355_2_2024-11-07,odd,2,3,1,0.3333333333333333,0.6666666666666667
355,3,3,355_3_2024-11-07,even,3,2,0.6666666666666666,0,0.6666666666666666
355,3,3,355_3_2024-11-07,odd,2,3,1,0,1
356,1,1,356_1_2024-11-26,even,2,3,1,0.3333333333333333,0.6666666666666667
356,1,1,356_1_2024-11-26,odd,3,2,0.6666666666666666,0,0.6666666666666666
356,2,2,356_2_2024-11-26,even,2,3,1,0,1
356,2,2,356_2_2024-11-26,odd,3,2,1,0,1
356,3,3,356_3_2024-11-26,even,2,3,1,0.3333333333333333,0.6666666666666667
356,3,3,356_3_2024-11-26,odd,3,2,1,0,1
357,1,1,357_1_2024-12-04,even,3,2,0.6666666666666666,0,0.6666666666666666
357,1,1,357_1_2024-12-04,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
357,2,2,357_2_2024-12-04,even,1,4,1,0,1
357,2,2,357_2_2024-12-04,odd,4,1,1,0,1
357,3,3,357_3_2024-12-04,even,2,3,1,0.3333333333333333,0.6666666666666667
357,3,3,357_3_2024-12-04,odd,3,2,0.6666666666666666,0,0.6666666666666666
358,1,1,358_1_2024-12-09,even,3,2,1,0,1
358,1,1,358_1_2024-12-09,odd,2,3,0.5,0,0.5
358,2,2,358_2_2024-12-09,even,3,2,0.3333333333333333,0,0.3333333333333333
358,2,2,358_2_2024-12-09,odd,2,3,1,0,1
358,3,3,358_3_2024-12-09,even,3,2,0.6666666666666666,0,0.6666666666666666
358,3,3,358_3_2024-12-09,odd,2,3,1,0.3333333333333333,0.6666666666666667
359,1,1,359_1_2024-12-12,even,1,4,1,0,1
359,1,1,359_1_2024-12-12,odd,4,1,0.75,0,0.75
359,2,2,359_2_2024-12-12,even,4,1,0.5,0,0.5
359,2,2,359_2_2024-12-12,odd,1,4,0,0,0
359,3,3,359_3_2024-12-12,even,3,2,0.3333333333333333,0,0.3333333333333333
359,3,3,359_3_2024-12-12,odd,2,3,0.5,0,0.5
360,1,1,360_1_2025-01-15,even,3,2,1,0.5,0.5
360,1,1,360_1_2025-01-15,odd,2,3,0,0.3333333333333333,-0.3333333333333333
360,2,2,360_2_2025-01-15,even,2,3,0.5,0,0.5
360,2,2,360_2_2025-01-15,odd,3,2,0.6666666666666666,1,-0.33333333333333337
360,3,3,360_3_2025-01-15,even,2,3,1,0,1
360,3,3,360_3_2025-01-15,odd,3,2,0.6666666666666666,0.5,0.16666666666666663
361,1,1,361_1_2025-01-31,even,1,4,0,0.25,-0.25
361,1,1,361_1_2025-01-31,odd,4,1,0.5,0,0.5
361,2,2,361_2_2025-01-31,even,4,1,0.25,0,0.25
361,2,2,361_2_2025-01-31,odd,1,4,0,0,0
361,3,3,361_3_2025-01-31,even,3,2,0.6666666666666666,0,0.6666666666666666
361,3,3,361_3_2025-01-31,odd,2,3,0.5,0,0.5
362,1,1,362_1_2025-01-16,even,3,2,1,0,1
362,1,1,362_1_2025-01-16,odd,2,3,1,0.3333333333333333,0.6666666666666667
362,2,2,362_2_2025-01-16,even,2,3,1,0,1
362,2,2,362_2_2025-01-16,odd,3,2,1,0,1
362,3,3,362_3_2025-01-16,even,3,2,1,0,1
362,3,3,362_3_2025-01-16,odd,2,3,1,0,1
